전법명,분류,습득,효과,수치,대상,범위,사거리,쿨타임,거점공격,의존능력,출처,비고
분전,공격,공용,피해,위력10,단일,단일,확인불가,12,X,무력,https://bbs.ruliweb.com/game/1771/read/9416537,"전법서로 습득. 진형별 초기 게이지 충전량 봉시70%/학익60%/어린50%. 전법 차지 2단/3단(노랑/초록) 시 피해 위력 약 150%/200%, 버프·디버프는 유지일수 약 125%/150% — 공용전법 공통 메커니즘"
돌격,공격,공용,피해 + 적 사기저하,피해 위력8 / 사기저하 위력5,단일,단일,확인불가,12,X,무력,https://bbs.ruliweb.com/game/1771/read/9416537,
급습,공격,공용,피해 + 혼란 부여,피해 위력8 / 혼란 위력4,단일,단일,확인불가,12,X,무력,https://bbs.ruliweb.com/game/1771/read/9416537,
제사,공격(원거리),공용,피해,위력4,광역(1칸),1칸 광역,확인불가,12,O,무력,https://bbs.ruliweb.com/game/1771/read/9416537,위력은 낮지만 거점 발동 + 광역이라 연계 유발용으로 평가가 좋다. 사거리는 전법이 아니라 진형에 의존(안행 2칸)
화시,공격(원거리),공용,발화,위력24,단일,단일,확인불가,12,O,무력,https://bbs.ruliweb.com/game/1771/read/9416537,
연노,공격(원거리),공용,피해 + 저지 부여,피해 위력6 / 저지 위력4,단일,단일,확인불가,12,O,무력,https://bbs.ruliweb.com/game/1771/read/9416537,데미지 계수는 낮으나 거점 발동이 되어 실전 평가가 좋다
격려,방어,공용,아군 사기상승 + 아군 공군상승,사기상승 위력15 / 공군상승 위력40·5일,아군(광역),1칸 광역,확인불가,12,O,무력,https://bbs.ruliweb.com/game/1771/read/9416537,사기상승은 1칸 광역(범위2). 고무보다 전반적으로 낫다
철벽,방어,공용,아군 방어상승,위력40. 표기 10일이나 실제 최소 10일·통상 약 20일·풀차지 약 30일,자신,단일,확인불가,12,X,무력,https://bbs.ruliweb.com/game/1771/read/9416537,**거점에서는 자동발동 자체가 안 된다.** 연계 유발 기회도 없다는 게 단점. 방어 +50%가 곧 피해 50% 감소는 아니며 비선형(방어 30%만 올라도 사상자가 절반 수준). 방원 + 개성 견수와 결합 시 매우 견고. 거점에서 쓰려면 팔문금쇄나 구갑대열
경파,방어,공용,아군 파성상승 + 적 공군저하,파성상승 위력40·5일 / 적 공군저하 위력28·5일,단일,단일,확인불가,12,O,무력,https://bbs.ruliweb.com/game/1771/read/9416537,
견제,공격(제압),공용,적 공성저하 + 적 파성저하,각 위력28·5일,단일,단일,확인불가,12,X,무력,https://bbs.ruliweb.com/game/1771/read/9416537,
대갈,공격(제압),공용,적 방어저하,위력28·5일,단일,단일,확인불가,12,X,무력,https://bbs.ruliweb.com/game/1771/read/9416537,
교란,공격(제압),공용,적 기동저하,위력28·5일,단일,단일,확인불가,12,X,무력,https://bbs.ruliweb.com/game/1771/read/9416537,
업화,계략,공용,발화,위력12,광역(1칸),1칸 광역,확인불가,12,O,지력,https://bbs.ruliweb.com/game/1771/read/9416537,
저지,방해(계략),공용,저지 부여,위력20,단일,단일,확인불가,18,X,지력,https://bbs.ruliweb.com/game/1771/read/9416537,저지는 애초에 거점 상대로 발동하지 않는 상태이상. **이미 걸린 대상에 다시 걸면 지속일수가 덧셈으로 누적된다**(도발도 동일)
혼란,방해(계략),공용,혼란 부여,위력20 / 기간 표기 5일이나 실제 최소 5일 + 시전자·피격자 지력차 보너스 가산,단일,단일,확인불가,18,O,지력,https://bbs.ruliweb.com/game/1771/read/9416537,"**재시전 시 지속일수 누적. 덮어쓰기가 아니다.** 혼란 상태는 공격·전법 사용 불가, 공/방/공성 20% 저하, 일기토 발동도 막히는 것으로 관측"
도발,방해(계략),공용,도발 부여,위력20,단일,단일,확인불가,18,O,지력,https://bbs.ruliweb.com/game/1771/read/9416537,"재시전 시 지속일수 누적. 도발 시전자에게는 데미지가 15% 너프되어 들어간다고 관측(인게임 미표기, 유저 관측)"
매성,방해(계략),공용,적 사기저하 + 적 공군저하,사기저하 위력15 / 공군저하 위력28·5일,단일,단일,확인불가,12,O,지력,https://bbs.ruliweb.com/game/1771/read/9416537,거점은 사기가 0이 되어도 소멸하지 않는다(부대와 다름)
고무,지원,공용,아군 사기상승,위력15,아군(광역 1칸),1칸 광역,확인불가,12,O,지력,https://bbs.ruliweb.com/game/1771/read/9416537,격려보다 전반적으로 약하다
치료,회복,공용,부상병 회복,위력14,단일,단일,확인불가,12,O,지력,https://bbs.ruliweb.com/game/1771/read/9416537,
진정,지원,공용,상태이상 해소,,광역(2칸),2칸 광역,확인불가,12,X,지력,https://bbs.ruliweb.com/game/1771/read/9416537,범위3(2칸 광역)으로 표기
정란,공격(병기),공용,피해,위력4,광역(1칸),1칸 광역,확인불가,12,O,지력,https://bbs.ruliweb.com/game/1771/read/9416537,정란 진형 전용으로 추정. 출처에 '전용' 명시는 없다
충차,공격(병기),공용,내구피해,위력244,단일,단일,확인불가,12,O,지력,https://bbs.ruliweb.com/game/1771/read/9416537,충차 진형 전용으로 추정
