진형명,분류,공군,방어,공성,파성,이동,용도,출처,비고
어린,야전,,30,13,6,,공방이 조화로운 기본 야전진형. 초반에 무난하게 널리 쓰인다,https://bbs.ruliweb.com/game/1771/read/9416508,방30/공성13/파성6 은 출처에 명시된 계수. 공군·이동은 미기재. 출시 초기 어린 독점 현상으로 전법 게이지 충전속도와 자동발동율이 타 진형 대비 약 15% 너프됨(전법 자체 계수는 아님)
봉시,야전,,,,,20,기동력 위주의 유격·기습. 적 후방 타격용,https://bbs.ruliweb.com/game/1771/read/9416508,"이동은 기본값. 시정10 만렙 시 25. 공/방/공성/파성 미기재(방어는 약하고 공군·파성·공성·기동이 높다고만 서술). 자동전법 발동율이 전 진형 중 가장 높다고 서술. '오봉시'(봉시 5부대, 시정10) 조합이 통용된다는 언급"
학익,야전,,30,,10,15,제압·점령 진형. 타일 점령과 지역 거점 파성에 특화,https://bbs.ruliweb.com/game/1771/read/9416508,"파성10 은 간접 확인값 — 학익 항목 자체에는 수치가 없고 장사 항목에서 '파성계수 10 은 학익과 동일'이라고 기재된 것을 옮긴 것. 같은 출처 안에서 서술이 엇갈리므로 게임 내 확인 필요. 이동은 기본값이며 시정10 시 19, PK 교역 가루다 진형술 습득 시 21. 시정10 실전 예시로 부대당 파성 약 27(계수 아닌 산출값)"
안행,야전,30,12,,,12,2칸 원거리 스플래시 공격. 방어 부대 뒤에서 활약,https://bbs.ruliweb.com/game/1771/read/9416508,공30/방12 명시. 이동은 기본값이며 시정10 시 15. 공성·파성 미기재. 방어가 낮아 단독 운용 시 취약 — 방원·학익·어린 같은 몸빵이 앞에 필요
방원,야전,,40,,,13,전선 유지와 장기 방어용 탱커 진형,https://bbs.ruliweb.com/game/1771/read/9416508,"방40 명시(약식 계산 방어력 약 1000). 이동은 기본값이며 시정 보정 시 소폭 상승(수치 미상). 적이 거는 일기토를 회피하지만 본인이 먼저 거는 일기토는 발생. 개성 견수(방어 +30%)와 전법 철벽(방어 +50%, 20일 유지)이 특히 잘 맞는다고 서술"
장사,야전,,,,10,,"산·숲 지형, 특히 산성 공략에 특화",https://bbs.ruliweb.com/game/1771/read/9416508,파성10 명시. 공/방/공성 미기재. 이동은 봉시에 준하는 수준으로 빠르다고만 서술(수치 없음). 유리 지형은 저산·중산·고산·산길. 장사 보유 장수가 산전 개성도 함께 가진 경우가 많아 '보너스의 보너스'가 발동한다고 서술
사이,이민족전용,,,,,,이민족 하이브리드 진형. 산·숲에서 강하고 평지에서는 봉시 수준으로 떨어진다,https://bbs.ruliweb.com/game/1771/read/9416508,"오환·선비·강·남만·산월 전용. 일반 장수는 반에디터로도 사용 불가. 수치 전부 미기재. '장사와 봉시의 장점을 합쳤다'며 방어는 방원급, 공군은 봉시급, 공성은 안행에 가깝다고 서술. 파성은 유독 약함(통솔 영향이 큰데 이민족 평균 통솔이 낮음). 북방3족(강·선비·오환)은 산 특화, 남방2족(남만·산월)은 숲·밀림 특화. 개성상 오환·선비·흉노·강저는 산악에서, 산월·남만은 숲·밀림에서 전능력 상승 — 출처 https://namu.wiki/w/%EC%82%BC%EA%B5%AD%EC%A7%80%2014/%EA%B2%8C%EC%9E%84%20%EA%B4%80%EB%A0%A8%20%EC%A0%95%EB%B3%B4"
추행,야전,,5,,,,정찰·타일 점령·보급로 차단용 경보병,https://bbs.ruliweb.com/game/1771/read/9416508,방5 만 명시. 나머지 미기재. 이동은 전 진형 중 가장 높다고 서술(수치 없음). **전법 사용 불가.** 방어 시 적 보급로를 끊어 혼란·저지를 유발하는 용도로도 쓰인다
정란,공성병기,,,,,,거점 병사 제거에 특화된 공성병기,https://bbs.ruliweb.com/game/1771/read/9416508,계수는 미기재. 통솔100·5천명·시정10·사기100 기준 산출 예시값: 방568 공283 파성60 공성1985 기동11 (계수 아님). 공성병기 중 방어가 가장 좋고 통솔 영향을 덜 받아 상대적으로 안정적
충차,공성병기,,,,,,거점 내구도 파괴에 특화된 공성병기,https://bbs.ruliweb.com/game/1771/read/9416508,계수는 미기재. 동일 조건 산출 예시값: 방511 공283 파성181 공성425 기동12 (계수 아님)
투석,공성병기,,,,,,거점 병사와 내구도를 동시에 때리는 만능 공성병기,https://bbs.ruliweb.com/game/1771/read/9416508,계수는 미기재. 동일 조건 산출 예시값: 방454 공397 파성136 공성1276 기동15 (계수 아님). 시정10 적용 시 병기 중 유일하게 기동 +3 보너스. PK 교역으로 캐터펄트 기술 개발 시 사거리 +1
주가,수군,,,,,,가장 기본적인 수군. 수군육성 무관이 초기 탑재,https://bbs.ruliweb.com/game/1771/read/9416508,"수치 전부 미기재. 전용 전법 구축(피해량 8, 단일)"
몽충,수군,,,,,,수군육성 5 달성 시 쓸 수 있는 중급 수군,https://bbs.ruliweb.com/game/1771/read/9416508,"수치 전부 미기재. 전용 전법 강습(피해량 10, 단일 + 혼란 부여)"
누선,수군,,,,,,수군육성 10 달성 시 쓸 수 있는 최상급 수군. 광역딜 보유,https://bbs.ruliweb.com/game/1771/read/9416508,"수치 전부 미기재. 안행처럼 광역 데미지 기능 보유. 전용 전법 시람(피해계수 8, 1칸 광역). 수상전에서 누선 보유 여부가 절대적이라고 서술"
