이름,포지션,왼발,오른발,특성,개인기,골결,드리블,일대일,중거리,크로스,태클,패스,퍼스트터치,헤더,대담,리더십,수비위치,승부욕,시야,예측,오프더볼,적극,집중,천재,침착,팀워크,판단,활동량,가속,균형,몸싸움,민첩,점프,주력,지구력,체력,골킥,공 던지기,공중 장악력,기행,돌진(빈도),반사 신경,볼 핸들링,수비 조율,???대일 방어,펀칭(빈도),페널티 박스 장악력
재러드 보언,"ST, AMLR",6칸,3칸,"정확한 슛 선호, 공을 자주 드리블, 오른쪽 측면에서 중앙으로 침투",15,15,14,5,15,13,8,14,14,10,8,13,8,17,13,15,15,10,11,15,15,15,15,17,15,13,8,15,8,14,15,14,,,,,,,,,,,
크리센시오 서머빌,AMLR,4칸,6칸,"휘어차는 슛 선호, 2대1패스 선호, 공을 자주 드리블, 왼쪽 측면에서 중앙으로 침투",15,11,17,4,14,11,5,12,15,5,9,5,4,13,11,13,13,7,8,15,13,10,10,12,18,15,5,17,5,17,13,12,,,,,,,,,,,
발렌틴 카스테야노스,ST,3칸,6칸,오버헤드킥을 시도,15,14,12,4,12,10,7,13,14,18,15,10,8,18,13,16,15,17,12,14,12,17,13,15,14,16,13,5,13,13,13,15,,,,,,,,,,,
마테우스 페르난데스,"AMC, MC",3칸,6칸,X,16,10,14,10,10,11,14,15,15,9,11,11,11,15,14,14,13,14,16,14,15,16,14,16,12,14,12,13,8,12,14,15,,,,,,,,,,,
토마시 소우체크,"MC, DM",3칸,6칸,"가능할 때마다 최전방으로 침투 선호, 짧고 간단한 패스 선호, 필요 시 상대 페널티 박스에 한 박자 늦게 침투하는 것을 선호",10,14,10,14,12,8,15,9,9,18,17,13,15,16,9,14,14,15,15,5,15,17,15,18,11,15,16,9,17,11,18,18,,,,,,,,,,,
숭궁투 마가사,"MC, DM, DC",3칸,6칸,X,11,7,10,14,11,11,14,13,12,14,12,10,13,13,12,13,12,14,12,10,12,14,12,13,12,13,14,13,14,12,15,13,,,,,,,,,,,
엘 하지 말리크 디우프,DL,6칸,2칸,"약한 발을 사용하지 않는 것을 선호, 슬라이딩 태클 선호",13,11,13,13,9,16,14,13,13,12,15,5,11,14,12,13,11,16,11,13,11,13,11,14,16,13,13,13,12,15,14,17,,,,,,,,,,,
맥스 킬먼,DC,6칸,4칸,수비 진영에서 드리블하기,14,6,13,14,7,11,14,14,13,12,9,6,14,15,13,13,11,7,12,11,13,12,12,12,13,13,14,13,15,14,13,11,,,,,,,,,,,
장 클레르 토디보,DC,3칸,6칸,"위기 상황을 벗어나기 위해 개인기를 자주 시도, 슬라이딩 태클을 하지 않는 것을 선호, 수비 진영에서 드리블하기",13,8,12,15,8,5,15,14,13,14,14,11,14,15,12,15,7,14,14,11,14,14,11,12,14,13,16,12,15,15,14,17,,,,,,,,,,,
에런 완 비사카,DR,2칸,6칸,슬라이딩 태클 선호,11,7,13,12,5,11,19,11,12,8,17,6,13,10,6,12,12,15,12,12,12,16,12,13,16,15,13,18,10,15,15,15,,,,,,,,,,,
코스타스 졸라키스,GK,2칸,6칸,X,10,,,,,,,12,8,,14,10,14,15,11,14,3,9,11,6,12,14,13,10,10,8,12,15,15,13,12,15,14,14,14,7,17,16,14,13,16,12,14
매스 헤어만센,GK,3칸,6칸,X,13,,,,,,,12,12,,12,11,13,12,12,13,3,12,13,11,14,15,12,12,12,12,12,14,14,11,12,11,13,14,11,12,11,16,12,12,13,12,12
카일 워커 피터스,DLR,4칸,6칸,"오른쪽 측면 돌파 선호, 가능할 때마다 최전방으로 침투 선호",13,10,15,11,8,13,14,12,14,8,12,8,13,14,12,12,14,12,11,11,13,15,12,15,14,14,10,13,6,14,16,18,,,,,,,,,,,
파블루,ST,3칸,6칸,패스를 발밑으로 받는 것을 선호,12,14,12,9,12,8,13,11,12,13,16,11,10,18,10,15,12,19,12,12,15,14,13,17,12,16,14,12,13,13,14,16,,,,,,,,,,,
아다마 트라오레,AMR,3칸,6칸,"오른쪽 측면 돌파 선호, 공을 차놓고 상대를 제치는 것을 선호, 현란한 개인기를 자주 시도, 패스를 발밑으로 받는 것을 선호",12,11,18,7,11,12,7,11,10,10,11,5,10,14,8,9,9,12,8,18,10,9,6,9,19,14,17,14,14,19,10,12,,,,,,,,,,,
악셀 디사시,"DC, DR",3칸,6칸,X,12,6,8,14,8,6,15,12,12,16,5,13,13,14,11,14,11,13,13,6,13,13,13,14,14,17,18,12,16,15,16,15,,,,,,,,,,,
프레디 포츠,"MC, DM",3칸,6칸,X,13,8,7,13,8,6,14,14,12,12,10,9,14,15,11,13,11,12,14,6,13,13,13,15,11,12,13,12,13,13,16,16,,,,,,,,,,,
올리버 스칼스,"DM, DL",6칸,3칸,X,13,11,12,13,7,12,13,13,11,6,12,2,13,13,12,12,12,10,11,8,13,13,13,13,13,13,10,13,13,13,14,13,,,,,,,,,,,
모하마두 캉테,"AMC, MC",2칸,6칸,X,12,12,12,13,12,7,8,13,12,8,6,12,12,15,13,12,13,14,12,5,9,12,12,15,13,13,13,12,9,13,13,15,,,,,,,,,,,
